yorum, puan
"bölgemizde moda haline gelmiş baskıcı, maço, umarsız, hırsız, muhafazakar, polis devleti yanlısı; ama iktidara seçilerek gelmiş diktatörlerin en tehlikelisidir. bizde ve balkan ülkelerinde de benzerleri mevcuttur. alayı aynı davranış kalıbını sürdürür. insanlardaki güçlü lider tapınımı yüzünden de iktidardan bir türlü inmez bunlar. firavun gibi pezevenkler. millet binlerce yıldır tapıyor bunun gibilere.zaten manyak olan rus toplumunun ultra-nasyonalist, ekstremist yanlarını okşar durur. medya patronlarını birer kukla haline dönüştürmüş vaziyettedir. gaza geldikçe gürcistan, ukrayna v.s. küçük lokmalardan birer ısırık almaktan çekinmez.bu adamı öğrendikçe bizim gidişatımızın da savaşsever/agresif bir topluma yöneldiğini hissediyorum, apatetik bir topluma dönüşeceğimizi, güzel ve insani yanlarımızı bırakıp yekten ""güç tapınımı""na yöneleceğimizden korkuyorum. bu tip otoriteye domalmayı seven ülkelerin gidişatını da ilgiyle izliyorum." ,2
"(bkz:putin'in o ses yarışmasına katılması)" ,3
"(bkz:awdnews.com)---spoiler---putin'in türkiye'yi demagog bir diktatör yönetiyor dedigini iddia etmis.putin'in soyledigi iddia edilen bir soz. dunyada sadece bir sitede mevcut, site dubai'de bir isim uzerine kayitli ve herhangi bir iletisim adresi, kaynak, kim vb. bilgisi yok.sitenin kaydi esnasinda girilen telefon numarasini aradiginizda ise turk aksanli birisi cevap veriyor. yanlis numara diye kapattim sonra telefonu. (sitenin altinda photos& caricture diye bir bolum var, ilginc)---spoiler---" ,3
"sovyet rusya'nın geçmiştenazilerle işbirliği yapmasında bir yanlışlık görmediğini belirtenruslider. ooov, işte bu çok sert oldu...http://www.telegraph.co.uk/…tlers-nazi-germany.html" ,3
"o ses rusya'ya çıkan devlet başkanı.http://www.youtube.com/watch?v=177ggnmhbpubizim reis-i cumhur'un da vardı benzer bir performansı.http://www.youtube.com/watch?v=saaqjkyhjt8" ,3
"adamın konvoyu mesaj içerikli:http://tiny.cc/c5r5ox",3
"adam gibi adam, centilmen adam. büyük lider, cumhurun reisi. çin first lady'sine bilehallenmiştir. çin devlet başkanıxi jinpingkendisinde 10 kat daha delikanlı olan putin'in önünde hem karısına hem de milyarlarca çinliye rezil olduğu için basından bu görüntüleri sansürlemesini istemiş.reis yaa. putin reis!" ,4
"her radikal hareketiyle femen kızlarının memelerini açıp ortaya çıkmasına sebep olan müstesna insan. bugün de birlikleri ukrayna'ya girmişlerdir.meme görebilmek için gece saat 2'ye kadar (bkz:tutti frutti) beklemiş bir nesil olarak yeni nesli kıskanma sebeplerimizden sadece birisidir." ,3
"esad'ın gidişini durdurmuş, abd ve avrupa'nın ukrayna'da turuncu devrim yapması hamlesine karşı kırım ve güney ukrayna'yı ilhak etmiş başarılı lider. şimdi de çıkmış abd'ye kuzey buz denizi'nden karayipler'e ve meksika'ya kadar rus uçaklarının devriye gezeceğiniaçıklayıpposta'yı koymuş.",4
"rusyada mafyaların ve devlet idarecilerinin rüşvet çarklarını kurmasını sağlayan sistemi getirmiştir.bireysel yolsuzluklarını araştıracak yargı da medyada bulunmamakta.en ufak muhalefete tahammülü olmadığı gibi muhalif gazetecileri ve iş adamlarını ya işinden etmiş yada hapse tıkmıştırbana birini hatırlatıyor ama kimii." ,2
"ayıp etmiş reyiz. çinli first leydinin üstüne şal atmış. ya hamile kalsaydı yengepeng liyuan? çin devlet erkanı da delirmiş putin yengemizi sikecek diye..(bkz:yenge de erik gibiymiş kütür kütür)(bkz:ceketimi atsam hamile kalıyor)(bkz:mihail gorbaçov/#46971511)" ,3
"çok net, eylem adamı. uluslararası yazışma ve diplomasinin yalancı dilini kullanmıyor, beklemiyor. anında eylem ile cevap. şu kürtlerin amerika destekli bağımsız devlet hayalinin içine limon sıkanda aynı arkadaş. ırak işgalinden sonra suriye'yi vermem diyor, biz hala esed diyoruz.ukrayna, ab ve amerika gazı ve ülkelerini ekonomik olarak kendi taraflarına çekme planları için biraz daha liberal bir ekonomiye geçip, rusya ile olan devlet ticaretini tamamen kesiyor, çat! ukrayna işgal ediliyor.suriye'de uluslararası güçlerin olmadığı bir savaş istiyor. kendi hesaplarını kendileri görsünler, nasılsa satılmış bir katil arap sürüsünden ibaret olan işid ve öso, zamanla kendi içyüzünü gösterecek, kan dökülecek ama daha güçlü bir esad ile suriye ortaya çıkacak diyor.biz hala esed diyoruz." ,2
"adını sol frame'de her gördüğümde başlığına tıklamadan önceşu marşı*açtığım lider." ,3
"dis siyaseti nedeniyle ruslarin halen destegini goren, ic siyasette ise tam bir felaket oldugu soylenen rus lider. rus arkadaslarimin olaya bakisi bu." ,3
"ukraynaolayları nedeniyle batı ülkelerinin ülkesine yönelik tavrını protesto etmek içing-20toplantılarının kalan kısmını boykot edecek rus lider.http://www.lemonde.fr/…ir-poutine_4524193_3210.htmlhttp://www.haaretz.com/mobile/1.626570" ,3
"hakkında az bilinen özelliklerden birisi de,kgbşefi olarak 2 yıltataristan'da kaldığı dönemden biraztatar türkçesibilmesidir. buradan görülebilir;http://www.youtube.com/watch?v=ecumfnoqjekayrıcadoğu almanya'da kaldığı dönemden üst düzeyalmancabilgisi de vardır;http://www.youtube.com/watch?v=2frvopgwxf0" ,3
"son zamanlarda yedigi hurmalar gotunu feci sekilde tirmaladigindan olsa gerek eski havasi pek kalmamis, aksine sonmus eskicommie. g20'de bile yuzlesemedi avrupali ve abdli denktaslariyla. bildigin rte'nin rus versiyonu. bizim sikko tatlisu solcularinin ve gotu boklu cakma komunistlerin ilahi." ,2
"""turkiye'ye yeni ufuklar aramaya geliyorum"" gibi bir beyanda bulunmus sahis. konu putin olunca o ufuklar nerelere dayanir, pek emin olmamak lazim.zaten kendisini haber gorselinde ufuklara dalmis bir halde gorebiliyoruz.http://www.hurriyet.com.tr/dunya/27609289.asp" ,3
"hayati boyuncarusyayi yonetmek istemedigini, ve 2024'de gorevi birakacagini aciklamis olanrusya devlet baskani.tabii ya adama da yazik yani, yonet yonet nereye kadar? bu guzel insan bahceli evine cekilip, organik domates yetistirmeyi hak etmiyor mu? veya guzel bir gune uyanip rusya'nin buz gibi sularina girip, sonrasinda avlanmayi? 7/24 adeta rambo gibi ortalikta dolasmayi?menderes'i astınız,özal'ı zehirlediniz,erdoğan'ı yedirmeyiz,putin'i birakiniz." ,2
"hakkında yeni yazılan yeni bir kitap (putin's kleptocracy who owns russia);http://www.economist.com/…b/te/pe/ed/bandofbrothersbu da amazon linki;http://www.amazon.com/gp/aw/d/1476795193/" ,3
"putin: “türkiye’ye yeni ufuklar aramaya geliyorum” -furkan kayageneli itibariyle tarih boyunca rekabete dayalı ilişki modeli üzerine kurulmuş olan türkiye-rusya ilişkilerinin temelinde; rusların imparatorluk stratejisi olarak sıcak denizlere inebilme, türkiye’nin ise bölgesel menfaatlerini rusya’ya karşı koruma politikaları yer alıyordu. bugün ise amaçların değişmediği, sadece “sistem teorisi” bazında aktörlerin stratejilerinde değişikliklere gittikleri görülüyor.rusya, avrasya stratejisiyle abd’ye meydan okuyor.kuşkusuz artık rusya dediğimizde aklımıza putin, putin dediğimizde aklımıza rusya geliyor. bunun en büyük sebebi olarak, putin’li yıllarda rusya’nın ülke tarihinde belki de imparatorluk stratejisine en yakın anlayışı benimsemesini söyleyebiliriz. uygulamaya geçtiği “avrasya stratejisi” ile rusya, abd’nin tek taraflı dış politika anlayışına adeta meydan okuyor. son dönemde orta doğu’da taşların yerinden oynaması ve ışid, özgür suriye ordusu, pyd gibi hükümet dışı aktörlerin söz sahibi olmaya başlaması, buna karşılık rusya’nın kırım’ı ilhakı ile birlikte ukrayna’da rus yanlısı güçlerin ortaya çıkması, abd ile rusya’nın satranç tahtasındaki mücadelesinin sınırlarının şimdilik bu bölgelerde yoğunlaştığını gösteriyor.ukrayna olmaksızın rusya bir “avrupa imparatorluğu” olamaz.türkiye ise, bu mücadele bölgelerinin ağırlık merkezinde yer almaya devam ediyor. batı, rusya’nın enerji tedarikinde tekelciliğine son vermek için türkiye üzerinden enerji nakil projeleri üretirken, rusya ukrayna’yı bypass ederek, avrupa’ya ulaştıracağı gazın güzergahını türkiye’nin izniyle karadeniz’deki münhasır ekonomik bölgesinden geçiriyor. diğer yandan rusya, ukrayna olmaksızın bir “avrupa imparatorluğu” olamayacağını düşünüyor. suriye meselesinde ise türkiye, ışid ve esad ile mücadelede askeri manada değil ama lojistik destek olarak koalisyon güçlerinin yanında olacağını ifade ederken, rusya’nın şimşeklerini de üzerine çekmemeye gayret gösteriyor. yani türkiye, tıpkı geçmişte olduğu gibi “denge politikası” izlemeye devam ediyor.putin çantasında sorun ile birlikte çözüm önerileri de getirecek.başkan putin’in aralık ayında türkiye’ye ziyaret edecek olmasının arka planında; iki ülke ticaret hacminin 2020 yılına kadar 100 milyar dolara ulaştırmanın yollarının aranacak olması olsa da, çantadaki esas dosyalar kırım ve ukrayna meseleleri yüzünden batı’nın uyguladığı ekonomik ambargo ile düşen petrol fiyatları ve suriye’nin geleceği olacaktır.ışid varili 30 dolardan petrol satıyor.abd, ekonomik yaptırımlar ile rusya’yı iyice köşeye sıkıştırmayı planlıyor. bunun içinse, petrol fiyatlarını silah olarak kullanıyor. petrol fiyatlarının aniden düşüş göstermesinin rusya’ya senelik maaliyetinin 30 milyar euro civarında olması bekleniyor. abd’nin bu politikasına hizmet eden bir başka enstrüman ise, -bilerek veya bilmeyerek- ışid’in kontrol ettiği petrol sahalarından 30 dolar gibi bir fiyatla piyasaya petrol satmasıdır.dondurulmuş çatışmalar, bölge için en büyük tehdit.dolayısıyla türkiye ile rusya, soğuk savaş döneminde ayrı kamplarda yer almış olsalar da, jeopolitik konumları onları işbirliğine yönlendiriyor. çünkü ulusal menfaatleri bir noktada kesişiyor ve hükümetler birbirlerini tehdit edecek politikalardan uzak duruyor. bilhassa rusya’nın avrasya politikasını türkiye’siz somutlaştırması son derece güç. çünkü türkiye, iki bölge arasında geçiş ülkesi ve batı bloğu ve orta doğu ile ilişkilerde katalizör görevi gören önemli bir aktör. fakat her zaman olduğu gibi, bu bölgenin en doğal sorunu olan dondurulmuş çatışma bölgelerinden olması türkiye’nin en büyük dezavantajı.başkan putin’in türkiye ziyaretinin satır araları iyi analiz edilmelidir. abd, dış politika stratejilerini bileylerken, rusya çok yönlü pro-aktif dış politikasını yeniden yapılandırmanın çabasında. her ne kadar iki ülke arasında rekabet alanları değişmeyecek olsa da, tesis edecekleri işbirliği düzeneği bölgesel barışa hizmet edecek.türkiye ile rusya arasında potansiyel fırsatlar, ikili anlaşmazlıkların ilişkilere zarar vermesi önündeki en büyük engel. işte belki de bu yüzden, başkan putin “türkiye’ye yeni ufuklar aramaya geliyorum” diyor.haftanın sözü: “ordular sizlere bağımsızlığınızı vermiş olabilir, fakat özgürlüğünüzü verecek olan adalettir.” – francisco sontanderkaynak:http://politikaakademisi.org/…ar-aramaya-geliyorum/" ,3
"ukrayna cumhurbaşkanı petro paraşenko'yu telefonla arayıp ""nato'ya üyelik başvurusu yaparsanız ülkenizi işgal ederiz"" demiş. bunun dışında paşamız işgal ettiği topraklardan da ukrayna'nın feragat etmesini istemiş. ukrayna tarafı ise geri adım atmayacak gibi, putin'in dediğini yaparlarsa zaten o koltukta oturamazlar, yeni bir isyan başlar." ,3
"müthiş bir ""ekonomi dehasıdır"" aynı zamanda. ruble'nin tarihi değer kaybı sonrasında bu durumu şu şekilde açıklamıştır; ""eskiden bir ürünü 32 rubleye satıyorsak şimdi aynı ürünü 45 (şuan 50) rubleye satıyoruz, yani zenginleşiyoruz"".*rusya ukrayna'yı işgal etmeden önce 1dolar = 32 ruble idi, bugün itibari ile 50 ruble'yi geçmiş durumda." ,3
"yaptığı pislikler bir bir ortaya çıkmaktadır. doğalgazı doğrudan satmak yerine ukraynalı işadamıdmytro firtash'ın şirketi üzerinden satarak rusya federasyonu zarara uğratmıştır. yani rusya gazının normalde avrupaya satışında birim başına 400 dolar civarı olan gaz 250 dolara firtash'a satılıyor ve bu adam aradaki farkıda cebe atıyor. bu aradaki farkın kimlere veya kime gittiğini tahmin etmek de zor değildir muhtemelen.http://www.reuters.com/…ticle-5-the-kiev-connectionkonu ile ilgili 17.03.2014 tarihli yazım: (bkz:#41213573)" ,2
"kendisiyle yapılmış bir mülakat için;http://www.globalresearch.ca/…man-relations/5416638" ,3
"putin’in türkiye ziyaretinin arka planı - yrd. doç. dr.göktürk tüysüzoğlurusya devlet başkanı vladimir putin’in 5. türk-rus üst düzey işbirliği konseyi’ne katılmak üzere bir kez daha türkiye’ye gelmesi, iki ülke ilişkilerinin seyrine ilişkin olumlu bir adım olarak görülebilir. başta suriye meselesi olmak üzere, ortadoğu’da yaşanan gelişmelere bakış açısı, ukrayna ve gürcistan’da yaşanan siyasal sorunlara yaklaşım tarzı ve türkiye’nin nato üyesi olmasından kaynaklanan birtakım anlaşmazlık noktaları ve çekinceler bulunmakla beraber, türkiye-rusya ilişkileri’nin ekonomi ve enerji odaklı ciddi bir gelişim seyri içerisinde olduğu söylenebilir. putin’in danışmanlarından yuri ushakov tarafından üst düzey bir diplomatik temsil olduğunu anlatabilmek için “devlet ziyareti” kapsamında gerçekleştirildiği açıklanan rus devlet başkanı’nın ankara ziyareti ise, gerek konuşulacak olan hususlar, gerekse de gerçekleştirildiği konjonktür bağlamında ele alınarak çözümlemesi yapılması gereken bir husustur.rusya’nın, ukrayna’da etnik/bölgesel farklılıklara yapılan atıf üzerinden belirmiş olan ve aynı zamanda siyasal bir çatışmayı da yansıtan iç savaşa olan yaklaşımı ve bu mücadele ekseninde donetsk ve luhansk’taki ayrılıkçılara verdiği desteğin yanı sıra, kırım’ı ilhak etmiş olması, başta abd olmak üzere batı dünyası’nda ciddi bir tepkiyle karşılanmaktadır. ab’nin lider ülkeleri, japonya ve avustralya gibi ülkeler de bu tepkinin bir parçası olmuştur. bu tepki çerçevesinde rusya’ya saldırgan devlet muamelesi yapılıp, ona karşı ciddi ekonomik ve hukuki kısıtlamalar uygulanırken, rusya’nın “arka bahçesi”nde, yani avrasya’da yer alan ülkelere de rusya’nın ne denli saldırgan bir ülke olduğunun propagandası yapılmaktadır. rusya’daki otoriter siyasal/yönetimsel anlayışın da sıklıkla eleştirildiği bu konjonktürde, bu ülkeye komşu olan ülkelerin izleyeceği dış politika da ciddi bir önem kazanmış durumdadır.rusya, diplomatik ve ekonomik kısıtlamalar eliyle kendisinin köşeye sıkıştırılmak ve böylece uluslararası sistem bazında kurgulamak istediği “çok kutupluluk” anlayışının bastırılmak istendiğini gördüğü için, hem komşu ülkelerle diplomatik temas alanını arttırmak, hem de mevcut uluslararası sistemi sorgulayan ya da bu sistemden rahatsız olan ülkelerle işbirliği bağlamında ilişkiler sürdürmek istemektedir. bu çerçevede rusya’nın attığı ilk adım, çin ile olan ilişkilerine verdiği önemi gösterebilmek amacıyla bu ülkeyle askeri bir antlaşma imzalamak olmuştur. öyle ki, rusya ile çin, geçtiğimiz günlerde rusya yapımı yeni nesil savunma sistemi olarak bilinen s-400 füzelerinin 3 milyar doları aşan bir fiyatla çin’e satılması konusunda anlaşmışlardır. 2016 yılında bitmesi beklenen müzakerelerin erken bir tarihte sonuçlandırılması ve çin’in kendi güney sahillerine (yani sorunlu güney çin denizi ve tayvan’a yönelik olarak) konuşlandırmayı planladığı bu stratejik silahın rusya tarafından bu ülkeye veriliyor oluşu, putin yönetimi’nin batı dünyası’nın kendisine karşı uyguladığı ekonomik ve diplomatik kısıtlamalara asya üzerinden verdiği bir cevap olarak görülmelidir.bu manevranın hemen ardından, putin, ankara’ya gelmektedir. türkiye’nin, rusya’ya komşu bir ülke olduğu ve tıpkı rusya gibi avrasya bölgesinde etkin bir bölgesel aktör olabilmeyi hedeflediği dikkate alındığında, bu, önemli bir mesajdır. nitekim türkiye, nato üyesidir ve başta ukrayna ve gürcistan olmak üzere rusya’ya komşu ülkelere yönelik izlenecek politika doğrultusunda kremlin’den farklı düşüncelere sahiptir. ne var ki, türkiye, aynı zamanda son dönemde başta abd olmak üzere batı dünyası ile de sorunlar yaşamaktadır. gittikçe otoriterleşen yönetim tarzına, siyasal çoğulculuk ve hukuk devleti gibi hususlarda beliren arızalara ve islami kimlik ve kültür üzerinden batı’ya yönlendirilen eleştirilere dikkatle baktığımızda ve özellikle suriye ve ırak konularında abd’den farklı bir duruş sergiliyor olmasına referansla değerlendirdiğimizde, türkiye’nin bir parçası olduğu batı dünyası’ndan uzaklaşmakta olduğunu ya da batı başlığı altında olmasına karşın, çok daha “özerk” bir tutum sergilemeye başladığını söyleyebiliriz. hiç kuşkusuz, putin ve ekibi de bu durumun farkındadır. iki ülke arasında bölgesel meseleler bağlamında var olduğu ortada olan sorunlara karşın, rusya, avrasya coğrafyasında içerisine düştüğü yalnızlığı azaltabilmek ve ekonomik kısıtlamalardan dolayı içerisine sürüklendiği krizi biraz olsun aşabilmek için türkiye ile iyi ilişkiler kurmasının gerekli olduğu kanısına varmıştır. nitekim putin, türkiye’ye gelmeden önce yaptığı açıklamalarında, türkiye’nin batı dünyası’na yönelik eleştirilerine hak veren ve rusya ile türkiye’nin karşılaştığı sorunların benzer olduğuna vurgu yapan bir tutum sergilemiş ve türkiye’nin batı dünyası içerisinde “özerk” bir yer elde etmeye yönelik söylem ve eylemlerini “bağımsız dış politika” vurgusu ile yüceltmiştir. bu bağlamda hem kendi ülkesini, hem de türkiye’yi, bağımsız bir dış politika izlemek isteyen ve çatışmaların bir parçası olmayı reddeden ülkeler olarak yansıtmayı tercih etmiştir. bu tavır, rusya’nın, asya’da çin ile başlattığı yakınlaşma ve kendisine karşı yönlendirilen diplomatik yalnızlaştırma manevrasını aşabilme yönünde türkiye ile batı dünyası arasında yaşanan soğukluğu kullanmak istediğini göstermektedir.yukarıda açıklanan yönüyle oldukça stratejik bir manevra olarak okunması gereken putin’in ankara ziyareti’nde, suriye, ışid krizi, ukrayna’nın geleceği, kırım, akkuyu’daki nükleer santralin inşasına ilişkin teknik hususlar ile doğalgaz arzı ve fiyatına ilişkin sorunların konuşulması beklenmektedir. putin’in çok sayıda rus işadamı ile türkiye’ye geliyor olduğu dikkate alındığında, 2013 yılında 32,7 milyar dolar olan karşılıklı ticaret hacminin arttırılması ve karşılıklı doğrudan/dolaylı yatırımlar konularının (rus şirketlerinin türkiye’deki doğrudan yatırımları 1.7 milyar dolar iken, türk şirketlerinin rusya’da 1 milyar dolar doğrudan yatırımları vardır ve bu rakamın arttırılması gerekmektedir) da ele alınacağı ortadadır. zira iki ülkenin orta vadede karşılıklı ticaret hacmini 100 milyar dolar seviyesine yükseltmek istediği bilinmektedir. fakat türkiye’nin rusya’ya olan enerji bağımlılığı dikkate alındığında, ticaret hacminin rusya’nın lehine olacak şekilde işleyeceği de görülebilmektedir. rusya’dan gelen turistlerden elde edilecek gelir, sebze-meyve ve tarım ürünleri ihracatı ve doğrudan yatırım aracılığıyla bu bağımlılığın ancak azaltılabileceği, ancak aşılamayacağı ortadadır. üstelik rusya, 20 milyar dolara mal olacak olan türkiye’nin ilk nükleer santralini de inşa etmektedir ve bu alanda türkiye’ye teknoloji transferi yapması ve türk mühendislerini eğitmesi de beklenmektedir. tüm bu faktörler göz önünde bulundurulduğunda, türkiye, batı dünyası içerisinde özerk bir tutum elde etmeye yönelik de gaulle benzeri bir politika izleyecekse, rusya ile işbirliğine dayalı bir ilişki türü geliştirmesi, ancak, bu ülkeye olan asimetrik bağımlılık ilişkisini de büyük çaplı bir sorun olmaktan çıkarması gerekmektedir.putin’in türkiye ziyareti, iki ülke ilişkilerindeki işbirliği fırsatlarını ve sorun yaratan hususları yeniden değerlendirmek için önemli bir fırsat olarak görülebilecekse de, esas itibarıyla ekonomik ve diplomatik kısıtlamalar eliyle rusya’nın içerisine sürüklenmek istediği yalnızlığı aşma girişiminin bir parçası olarak okunmalıdır. putin ile erdoğan’ın, ankara’da yan yana yapacağı açıklamalar, son dönemde batı ile ilişkiler anlamında sorunlar yaşayan iki ülkenin/liderin dayanışma görüntüsü verme girişiminin bir parçası olarak değerlendirilmelidir.kaynak:http://politikaakademisi.org/…yaretinin-arka-plani/" ,3
